PuzzleId,PieceCount,Datalog_Success,Triples_Before,Triples_After,Datalog_Time_Sec,Reasoning_Time_Sec,Peak_RAM_MB,Avg_CPU_Percent,Status
001pC,25,TRUE,2726,3543,0.66,3.41,506.23,355.81,SUCCESS
003AX,25,TRUE,2819,3653,0.66,3.51,386.24,344.41,SUCCESS
004Ud,25,TRUE,2760,3598,0.66,3.41,373.69,338.19,SUCCESS
004Ys,25,TRUE,2811,3632,0.68,3.41,495.09,341.39,SUCCESS
000aY,26,TRUE,2824,3659,0.67,3.51,500.9,339.3,SUCCESS
000rZ,26,TRUE,2829,3652,0.67,3.52,513.09,345.23,SUCCESS
001kG,26,TRUE,2818,3670,0.67,3.41,506.02,341.35,SUCCESS
002p5,26,TRUE,2812,3656,0.68,3.41,391.08,363.99,SUCCESS
002rd,26,TRUE,2800,3625,0.67,3.61,530.99,333.5,SUCCESS
0017R,27,TRUE,2836,3678,0.67,3.51,514.36,367.28,SUCCESS
002IE,27,TRUE,2830,3665,0.66,3.51,516.11,332.13,SUCCESS
003md,27,TRUE,2774,3617,0.68,3.51,518.02,330.41,SUCCESS
007tv,27,TRUE,2810,3636,0.67,3.51,389.19,333.55,SUCCESS
0092V,27,TRUE,2803,3646,0.68,3.41,502.29,351.34,SUCCESS
001wr,28,TRUE,2869,3711,0.67,3.61,500.34,314.42,SUCCESS
001xO,28,TRUE,2862,3712,0.68,3.51,477.15,327.57,SUCCESS
002HE,28,TRUE,2845,3693,0.67,3.41,534.4,358.63,SUCCESS
003o0,28,TRUE,2801,3649,0.67,3.41,497.41,326.89,SUCCESS
004BW,28,TRUE,2836,3690,0.68,3.51,517.36,334.13,SUCCESS
0009B,29,TRUE,2840,3700,0.66,3.41,521.13,353.96,SUCCESS
002Tf,29,TRUE,2813,3668,0.67,3.61,514.92,351.81,SUCCESS
009XT,29,TRUE,2834,3688,0.68,3.71,501.72,329.42,SUCCESS
00EbJ,29,TRUE,2870,3715,0.68,3.61,510.98,342.86,SUCCESS
00HJd,29,TRUE,2842,3685,0.66,3.61,513.33,339.95,SUCCESS
002KJ,30,TRUE,2867,3738,0.67,3.61,498.13,331.24,SUCCESS
002O7,30,TRUE,2873,3744,0.66,3.72,514.11,322.56,SUCCESS
00Bn0,30,TRUE,2825,3681,0.67,3.81,503.97,347.51,SUCCESS
00LZf,30,TRUE,2869,3728,0.68,3.71,492.68,333.16,SUCCESS
00VXe,30,TRUE,2854,3709,0.7,3.71,497.59,319.89,SUCCESS
005jJ,31,TRUE,2890,3765,0.68,3.72,500.86,313.89,SUCCESS
009FP,31,TRUE,2868,3718,0.66,3.92,454.97,339.54,SUCCESS
00R0l,31,TRUE,2824,3683,0.66,3.61,516.12,340.4,SUCCESS
00fSz,31,TRUE,2846,3697,0.66,3.71,491.86,306.09,SUCCESS
01E5s,31,TRUE,2844,3705,0.66,3.71,516.02,322.81,SUCCESS
00LUZ,32,TRUE,2861,3725,0.67,3.71,476.46,329.6,SUCCESS
00Rue,32,TRUE,2879,3749,0.66,3.71,374.35,318.09,SUCCESS
00SLR,32,TRUE,2808,3669,0.67,3.62,496.32,329.24,SUCCESS
00d1o,32,TRUE,2884,3768,0.67,3.61,504.94,347.67,SUCCESS
01Suf,32,TRUE,2862,3723,0.67,3.71,501.05,333.37,SUCCESS
